Season;HE;CI;;
1;1;87,06;;
1;2;87,06;;
1;3;87,06;;
1;4;87,06;;
1;5;87,63;;
1;6;94,46;;
1;7;110,98;;
1;8;105,79;;
1;9;86,35;;
1;10;58,66;;
1;11;57,8;;
1;12;56,62;;
1;13;55,97;;
1;14;56,5;;
1;15;56,53;;
1;16;57,8;;
1;17;92,45;;
1;18;125,85;;
1;19;144,9;;
1;20;127,62;;
1;21;114,5;;
1;22;95,55;;
1;23;88,25;;
1;0;87,07;;
2;1;86,91;;
2;2;85,91;;
2;3;87,2;;
2;4;87,03;;
2;5;91,45;;
2;6;105,76;;
2;7;94,28;;
2;8;2,48;;
2;9;1,96;;
2;10;2,92;;
2;11;50,25;;
2;12;53,31;;
2;13;55,12;;
2;14;58,67;;
2;15;63,57;;
2;16;26,45;;
2;17;48,57;;
2;18;120,79;;
2;19;151,38;;
2;20;150,96;;
2;21;122,63;;
2;22;93,62;;
2;23;88,12;;
2;0;87,12;;
3;1;86,87;;
3;2;86,8;;
3;3;86,77;;
3;4;86,72;;
3;5;87,17;;
3;6;95,77;;
3;7;92,09;;
3;8;88,39;;
3;9;88,39;;
3;10;91,09;;
3;11;93,23;;
3;12;97,87;;
3;13;104,23;;
3;14;110,13;;
3;15;115,76;;
3;16;123,91;;
3;17;131,52;;
3;18;146,52;;
3;19;155,7;;
3;20;140,27;;
3;21;118,35;;
3;22;100,45;;
3;23;91,21;;
3;0;88,57;;
4;1;90,25;;
4;2;88,55;;
4;3;87,8;;
4;4;87,91;;
4;5;90,98;;
4;6;105,08;;
4;7;122,4;;
4;8;109,22;;
4;9;94,27;;
4;10;90,26;;
4;11;89,84;;
4;12;91,17;;
4;13;92,03;;
4;14;93,36;;
4;15;95,25;;
4;16;104,3;;
4;17;136,96;;
4;18;156,4;;
4;19;153;;
4;20;141,37;;
4;21;130,78;;
4;22;115,22;;
4;23;102,03;;
4;0;93,34;;